ShopID: 1	https://www.zooplus.co.uk/ - DONE
ShopID: 2	https://www.petsathome.com/ - DONE
ShopID: 3	https://www.petplanet.co.uk/ - ONGOING
ShopID: 4	https://www.pet-supermarket.co.uk/ - DONE
ShopID: 5	https://www.petdrugsonline.co.uk/ - NOT STARTED
ShopID: 6	https://www.jollyes.co.uk/ - DONE
ShopID: 7	https://www.lilyskitchen.co.uk/ - DONE
ShopID: 8	https://www.viovet.co.uk/ NOT STARTED
ShopID: 9	https://www.bitiba.co.uk/ - DONE
ShopID: 10	https://www.direct-vet.co.uk/ - SKIPPED, AJAX
ShopID: 11	https://www.fishkeeper.co.uk/ NOT STARTED
ShopID: 12	https://www.purina.co.uk/ NOT STARTED
